scorer,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,b4,b4,b4,b5,b5,b5,b6,b6,b6,b7,b7,b7,b8,b8,b8,lhoof,lhoof,lhoof,rhoof,rhoof,rhoof,hind_lhoof,hind_lhoof,hind_lhoof,hind_rhoof,hind_rhoof,hind_rhoof
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,1.2641661167144775,3.4806329011917114,0.021651504561305046,4.087761469185352,0.8719074726104736,0.03568091243505478,1.2404794692993164,1.3637261390686035,0.02108767069876194,0.9738695621490479,0.51458740234375,0.044603511691093445,1.7026658058166504,1.5185613632202148,0.04493720829486847,1.2687053680419922,5.685527086257935,0.01952817104756832,1.167975902557373,1.7919588088989258,0.12079598009586334,1.3564085960388184,1.8542542457580566,0.06343448162078857,3.2553409934043884,4.594742238521576,0.025725560262799263,-2.4662251472473145,5.536022663116455,0.02490471862256527,1.312126874923706,3.173501670360565,0.041869018226861954,1.8762266635894775,4.7088987827301025,0.024576745927333832
10,1.2641830444335938,3.48075407743454,0.021658778190612793,4.087402060627937,0.8719861507415771,0.03568189591169357,1.2404799461364746,1.3637676239013672,0.021090397611260414,0.9739043712615967,0.5145165920257568,0.04461546614766121,1.7025182247161865,1.518662929534912,0.044939737766981125,1.2687053680419922,5.685470223426819,0.019531650468707085,1.167975902557373,1.7922041416168213,0.12086796760559082,1.3564517498016357,1.8544244766235352,0.06346052139997482,3.2552207708358765,4.594742238521576,0.025726713240146637,-2.4661145210266113,5.535930871963501,0.0249100923538208,1.3122808933258057,3.1736456155776978,0.041864439845085144,1.8762998580932617,4.7088987827301025,0.024574989452958107
11,1.2641830444335938,3.480878710746765,0.021652381867170334,4.087402060627937,0.8719861507415771,0.03567824140191078,1.2405834197998047,1.3637797832489014,0.021086957305669785,0.9739043712615967,0.5145165920257568,0.04460367187857628,1.7025182247161865,1.5187137126922607,0.044930025935173035,1.2687053680419922,5.685413360595703,0.019527312368154526,1.167975902557373,1.7922041416168213,0.12082003057003021,1.3564279079437256,1.8545129299163818,0.06343521922826767,3.254946291446686,4.594555377960205,0.025724012404680252,-2.4661145210266113,5.535932898521423,0.02489781379699707,1.312288761138916,3.173693835735321,0.041861604899168015,1.8762998580932617,4.7088987827301025,0.024572284892201424
12,1.2642998695373535,3.480878710746765,0.021658165380358696,4.087402060627937,0.8719878196716309,0.03568585216999054,1.2407078742980957,1.3638341426849365,0.021090762689709663,0.9739832878112793,0.5145213603973389,0.04460689052939415,1.7025182247161865,1.518754005432129,0.04493718594312668,1.2687327861785889,5.685413360595703,0.019529933109879494,1.167975902557373,1.7922041416168213,0.12082016468048096,1.3564517498016357,1.8545408248901367,0.06344281136989594,3.2549074292182922,4.5945404171943665,0.025728046894073486,-2.466080665588379,5.535978317260742,0.02490544132888317,1.3125,3.173693835735321,0.041867271065711975,1.8762998580932617,4.7088987827301025,0.02457801252603531
13,1.2643508911132812,3.4807831048965454,0.021656140685081482,4.0874800980091095,0.8720231056213379,0.03568728640675545,1.2407078742980957,1.3638455867767334,0.021092932671308517,0.9739832878112793,0.5145165920257568,0.044609636068344116,1.7026095390319824,1.518754005432129,0.04494430124759674,1.2689440250396729,5.6852535009384155,0.019533438608050346,1.1680774688720703,1.7920491695404053,0.12083952128887177,1.3564517498016357,1.8545129299163818,0.06344413012266159,3.254810929298401,4.594452679157257,0.025729946792125702,-2.4660372734069824,5.535978317260742,0.024909712374210358,1.3123586177825928,3.1736456155776978,0.041870761662721634,1.8764922618865967,4.708766520023346,0.024579664692282677
14,1.2643508911132812,3.4807831048965454,0.02165866084396839,4.087651014328003,0.8720390796661377,0.035685598850250244,1.2407078742980957,1.3638455867767334,0.021092528477311134,0.9739832878112793,0.5145165920257568,0.04461304098367691,1.7026095390319824,1.5187253952026367,0.04494427144527435,1.2689440250396729,5.685250282287598,0.01953287422657013,1.1682169437408447,1.7918972969055176,0.12083426862955093,1.3564543724060059,1.8544244766235352,0.06343884766101837,3.2547688484191895,4.594315469264984,0.025728421285748482,-2.4660372734069824,5.535978317260742,0.024908622726798058,1.3123586177825928,3.173589766025543,0.04186652973294258,1.876521348953247,4.70871502161026,0.02457750402390957
15,1.2643508911132812,3.4807007908821106,0.0216584000736475,4.087696798145771,0.8720390796661377,0.03568759188055992,1.2406573295593262,1.3638455867767334,0.02109782211482525,0.9739272594451904,0.5144133567810059,0.044623468071222305,1.7026095390319824,1.5187253952026367,0.04494640976190567,1.2689440250396729,5.685068488121033,0.01953791454434395,1.1684575080871582,1.7918100357055664,0.12084285169839859,1.3564574718475342,1.8542354106903076,0.06345020979642868,3.2544798254966736,4.594275057315826,0.025733431801199913,-2.4660372734069824,5.536025762557983,0.024913927540183067,1.3123586177825928,3.172944664955139,0.04186968132853508,1.8766875267028809,4.708639860153198,0.02457878552377224
16,1.2643508911132812,3.4807007908821106,0.02165820635855198,4.087696798145771,0.8720390796661377,0.03568685054779053,1.2406573295593262,1.3638341426849365,0.02109748125076294,0.9739272594451904,0.5144133567810059,0.04462294653058052,1.7026095390319824,1.5187253952026367,0.04494580626487732,1.2689440250396729,5.685068488121033,0.01953756809234619,1.1684575080871582,1.7918016910552979,0.12084099650382996,1.3564574718475342,1.8542354106903076,0.06344937533140182,3.2544798254966736,4.594275057315826,0.025732850655913353,-2.466050624847412,5.536025762557983,0.024913279339671135,1.3123586177825928,3.1729373931884766,0.041868846863508224,1.8766875267028809,4.708639860153198,0.024578003212809563
17,1.264331340789795,3.480687141418457,0.0216584000736475,4.087696798145771,0.8720390796661377,0.03568759188055992,1.2406573295593262,1.3638455867767334,0.02109782211482525,0.9739272594451904,0.5144133567810059,0.044623468071222305,1.7026095390319824,1.5187253952026367,0.04494640976190567,1.2689440250396729,5.685068488121033,0.01953791454434395,1.1684575080871582,1.7918016910552979,0.12084285169839859,1.3564574718475342,1.8542287349700928,0.06345020979642868,3.2544798254966736,4.594275057315826,0.025733431801199913,-2.4660372734069824,5.536040782928467,0.024913927540183067,1.3123586177825928,3.1729373931884766,0.04186968132853508,1.8766875267028809,4.708639860153198,0.02457878552377224
18,1.264331340789795,3.480687141418457,0.02165849506855011,4.087710320949554,0.8719418048858643,0.035688918083906174,1.2406573295593262,1.3638339042663574,0.021098226308822632,0.9739272594451904,0.5144133567810059,0.0446242019534111,1.7026138305664062,1.5187253952026367,0.04494749754667282,1.2689330577850342,5.685134410858154,0.019539203494787216,1.168464183807373,1.7917962074279785,0.12084890902042389,1.3565125465393066,1.8541297912597656,0.06345101445913315,3.2544798254966736,4.594276607036591,0.025734100490808487,-2.466050624847412,5.536025762557983,0.024914508685469627,1.312352180480957,3.1729013919830322,0.041871849447488785,1.8766875267028809,4.708642244338989,0.024579329416155815
